iter	Passed	Remaining
0	19	19702
1	41	20751
2	75	24949
3	102	25504
4	124	24783
5	155	25682
6	178	25322
7	199	24755
8	220	24326
9	243	24072
10	265	23837
11	284	23393
12	306	23276
13	328	23105
14	352	23123
15	376	23129
16	398	23046
17	419	22889
18	441	22789
19	463	22698
20	484	22608
21	506	22523
22	527	22419
23	549	22345
24	567	22139
25	590	22102
26	611	22022
27	631	21919
28	652	21831
29	674	21794
30	694	21715
31	723	21873
32	753	22078
33	777	22095
34	799	22055
35	821	21991
36	850	22129
37	873	22115
38	894	22053
39	914	21959
40	935	21880
41	957	21829
42	977	21755
43	999	21719
44	1022	21700
45	1044	21652
46	1064	21585
47	1095	21728
48	1115	21654
49	1137	21603
50	1157	21544
51	1178	21491
52	1205	21537
53	1227	21497
54	1257	21603
55	1277	21541
56	1303	21560
57	1325	21524
58	1346	21470
59	1368	21442
60	1390	21403
61	1412	21365
62	1432	21308
63	1453	21260
64	1474	21217
65	1497	21192
66	1520	21178
67	1543	21148
68	1563	21100
69	1586	21079
70	1608	21044
71	1633	21052
72	1656	21033
73	1677	20985
74	1698	20948
75	1723	20950
76	1746	20934
77	1768	20904
78	1799	20976
79	1821	20942
80	1844	20925
81	1867	20907
82	1889	20875
83	1910	20836
84	1933	20816
85	1956	20789
86	1978	20760
87	1999	20722
88	2020	20682
89	2042	20650
90	2064	20623
91	2086	20591
92	2107	20551
93	2128	20515
94	2149	20480
95	2172	20458
96	2196	20451
97	2217	20410
98	2238	20374
99	2261	20354
100	2282	20319
101	2304	20289
102	2326	20264
103	2350	20248
104	2371	20217
105	2392	20179
106	2416	20169
107	2438	20143
108	2462	20126
109	2483	20094
110	2504	20062
111	2526	20032
112	2545	19980
113	2568	19959
114	2588	19922
115	2609	19889
116	2632	19865
117	2654	19838
118	2678	19826
119	2702	19815
120	2723	19787
121	2745	19760
122	2766	19725
123	2788	19701
124	2810	19675
125	2832	19649
126	2853	19616
127	2877	19600
128	2899	19579
