iter	Passed	Remaining
0	44	52756
1	82	49584
2	124	49731
3	167	50083
4	211	50488
5	252	50271
6	276	47159
7	313	46673
8	362	47921
9	407	48434
10	462	50025
11	521	51584
12	541	49408
13	597	50610
14	662	52354
15	723	53512
16	801	55758
17	860	56519
18	882	54854
19	937	55307
20	980	55056
21	1031	55233
22	1086	55577
23	1144	56074
24	1198	56313
25	1250	56450
26	1297	56385
27	1352	56600
28	1450	58584
29	1534	59838
30	1562	58907
31	1598	58360
32	1623	57406
33	1681	57653
34	1726	57479
35	1761	56954
36	1841	57890
37	1914	58541
38	1973	58742
39	2047	59386
40	2118	59879
41	2178	60066
42	2245	60429
43	2303	60531
44	2354	60432
45	2392	60021
46	2435	59754
47	2465	59165
48	2516	59113
49	2559	58864
50	2591	58387
51	2606	57545
52	2640	57155
53	2673	56738
54	2715	56541
55	2769	56580
56	2810	56355
57	2887	56847
58	2940	56867
59	2989	56805
60	3034	56658
61	3081	56566
62	3137	56624
63	3200	56811
64	3259	56913
65	3305	56787
66	3341	56499
67	3390	56444
68	3429	56213
69	3465	55946
70	3514	55891
71	3579	56080
72	3625	55974
73	3670	55852
74	3719	55793
75	3778	55888
76	3812	55605
77	3863	55569
78	3915	55564
79	3952	55331
80	3990	55134
81	4038	55063
82	4088	55021
83	4142	55041
84	4211	55245
85	4259	55180
86	4294	54945
87	4338	54821
88	4376	54632
89	4426	54599
90	4513	55000
91	4568	55018
92	4603	54796
93	4637	54563
94	4674	54376
95	4700	54060
96	4746	53970
97	4814	54136
98	4891	54400
99	4958	54539
100	5032	54763
101	5107	54978
102	5142	54769
103	5182	54610
104	5213	54367
105	5256	54251
106	5320	54348
107	5377	54374
108	5435	54408
109	5492	54424
110	5512	54086
111	5565	54067
112	5622	54085
113	5678	54091
114	5747	54227
115	5790	54113
116	5815	53831
117	5869	53818
118	5921	53789
119	5958	53626
120	6007	53566
121	6064	53588
122	6088	53310
123	6162	53471
124	6206	53376
125	6275	53492
126	6357	53714
127	6396	53567
128	6438	53458
129	6477	53317
130	6527	53267
131	6581	53253
132	6635	53231
133	6671	53074
134	6707	52915
135	6751	52818
136	6788	52673
